Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Detective,William L. Foulks,38.0,1900-09-29,Saturday,Gunfire,"Cleveland Division of Police, Ohio",Ohio,3 years,232,Officer's handgun,Acquitted of murder,"Detective William Foulks was shot and killed by a suspect during a violent strike between union molders and non-union molders filling their positions on the corner of Wood* and Hamilton Streets in Cleveland. Detective Foulks and another officer were searching for a wanted man when they heard gunshots in the crowd. The officers ran towards the crowd and Detective Foulks, who was in plain clothes, immediately began to struggle with one of the strikers. During the struggle, his revolver fell out; the man picked it up and shot him with it.The man was later arrested but was subsequently acquitted of murder charges, claiming he did not know Detective Foulks was a police officer and was acting in self-defense.Detective Foulks served with the Cleveland Division of Police for three years. He was survived by his wife and six children.  Wood Street has been renamed East 3rd Street, and Hamilton Street does not extend to E 3rd Street in 2022."
Deputy Sheriff,Archibald McNeill,25.0,1900-07-03,Tuesday,Gunfire,"Duval County Sheriff's Office, Texas",Texas,,,Gun; Unknown type,Acquitted,"Deputy Sheriff Archie McNeill was shot and killed while attempting to disarm a man inside of a saloon in San Diego, Texas.The subject shot Deputy McNeill before being arrested. The man was tried for murder but acquitted.Deputy McNeill was survived by his wife and two children."
Deputy Sheriff,William S. Wright,44.0,1900-01-30,Tuesday,Gunfire,"Letcher County Sheriff's Office, Kentucky",Kentucky,3 months,,Rifle; Winchester,Sentenced to life,"Deputy William Wright was shot and killed by two brothers as he was on his way to their home to arrest them. The brothers opened fire at the same time as the three met on the road, killing Deputy Wright instantly.In 1902 both the Reynolds brothers were convicted of his murder during a heavily attended and highly emotional trial in Bell County and sentenced to life in prison. One was pardoned by Governor J.C.W. Beckham in 1905 and the other by Governor Augustus E. Wilson on January 1, 1909.Deputy Wright's murder was the result of an ongoing feud between Deputy Wright's family and the Reynolds' family that started 18 years earlier and would go on for many more years. Deputy Wright had served with the Letcher County Sheriff's Office for only three months. He was survived by his wife and 11 children. He was an ex-member of the Kentucky Legislature.Deputy Wright's son, William Wright, was shot and killed in the line of duty on April 11, 1901, while also serving with the Letcher County Sheriff's Department as a result of this feud.It is important to note that many feuds occurred in Kentucky, and often information about officers who lost their lives as a result of them is often confusing, contradictory, and refuted by others."
Night Policeman,James T. Martin,43.0,1900-08-10,Friday,Gunfire,"Carrollton Police Department, Kentucky",Kentucky,,,Shotgun,Sentenced to 16 years,Night Policeman James Martin was shot and killed while enforcing a city livestock ordinance prohibiting livestock from going at large.He was impounding two horses when their owner approached him and began arguing with him. The man and the man's brother-in-law both exchanged shots with Policeman Martin. Policeman Martin was struck in the abdomen by a shotgun pellet and died approximately 20 minutes later.Ultimately three men were convicted in the incident. The primary suspect was sentenced to 16 years for homicide. The others were convicted of conspiracy and received lesser sentences.
Keeper,Hugh McGovern,51.0,1900-10-29,Monday,Assault,"New York City Department of Correction, New York",New York,20 years,,Blunt object; Pipe,Executed in 1903,"Keeper McGovern was killed during an escape attempt at the 7th District Prison attached to the old Police/Magistrates Court on West 54th Street in Manhattan.  The suspects had cut themselves free from their cell with a saw that one of the suspect's girlfriends smuggled into the jail inside a sweet potato pie.After getting free the suspects struck Keeper McGovern over the head with the cut away piece of bar, killing him.  The suspects then climbed down a makeshift rope.  The first inmate made it down the rope but the the rope broke as the second man climbed down and he fell to his death.The prisoner who escaped was later captured in Philadelphia, Pennsylvania. He was sentenced to death for Keeper McGovern's murder and executed at Sing Sing Prison on June 8, 1903.Keeper McGovern had been with the agency for 20 years."
Policeman,Charles Hartsell Smelser,33.0,1900-04-01,Sunday,Gunfire,"Hot Springs Police Department, North Carolina",North Carolina,,,Officer's handgun,Sentenced to 30 years,"Policeman Charles Smelser succumbed to a gunshot wound sustained three days earlier while attempting to arrest three drunk men who left a bar and went on a rampage, shooting at everyone they saw.Policeman Smelser confronted one of the men and was placing him under arrest when one of the other men approached and held him at bay with a shotgun. The first man then took Policeman Smelser's service revolver and shot him in the head. He then fired the shotgun in the face of another policeman arriving at the scene, blinding him in one eye and seriously damaging the other.The men continued shooting other citizens, wounding two, one critically.until one of them was finally shot and wounded by the chief of police. All three were charged with Policeman Smelser's murder. The 22-year-old killer of Policeman Smelzer was found guilty of second degree murder and sentenced to 30 years. One was acquitted, and a mistrial was declared in the trial of the third subject. The killer was denied a pardon by Governor Robert B. Glenn in 1905. He escaped from a Wilmington prison camp in 1907. Policeman Smelser was survived by his wife."
Patrolman,William Baumeister,,1900-11-30,Friday,Gunfire,"New York City Police Department, New York",New York,,,Handgun,Charged with murder,"Patrolman William Baumeister succumbed to a gunshot wound sustained the previous day while attempting to stop an assault. He was standing at 113th Street between 1st and 2nd Avenues when he saw a man hit another man in the head with a brick and then shot him. As he tried to stop him the man shot him. Patrolman Baumiester clubbed the 33-year-old suspect with his nightstick and held on to him until other officers arrived.Patrolman Baumeister was assigned to the 29th Precinct, which is now the 23rd Precinct."
Police Officer,John Horan,54.0,1900-11-15,Thursday,Animal related,"Louisville Police Department, Kentucky",Kentucky,7 years,,,,Officer John Horan was killed instantly when he was thrown from his horse at the intersection of 30th and Walnut Streets and suffered a broken neck. He and another officer were en route to their post at 28th and Chestnut Streets when the accident occurred.Officer Horan had served with the Louisville Police Department for seven years. He was survived by his wife and four sons.
Patrolman,Samuel Cooper,41.0,1900-11-01,Thursday,Gunfire,"South Bend Police Department, Indiana",Indiana,,,Gun; Unknown type,Paroled in 1911,"Patrolman Samuel Cooper succumbed to an infection from gunshot wounds suffered one week earlier when he was attempting to arrest an armed robbery suspect.  After being shot, Patrolman Cooper returned fire and wounded the suspect.The suspect was convicted of Patrolman Cooper's murder and sentenced to life in prison on June 21, 1901. He was paroled in 1911.Patrolman Cooper was survived by his wife and daughter."
Sheriff,George T. Young,,1900-11-09,Friday,Gunfire,"Park County Sheriff's Office, Montana",Montana,,,Gun; Unknown type,Never apprehended,"Sheriff Young was shot and killed while attempting to arrest a train robbery and murder suspect. A suspect robbed a man on a train while enroute to Garrison, Montana. When the train arrived in Garrison, the suspect left the train and went to Logan, Montana where he shot and killed a rancher. The suspect was spotted at a train station in Springdale, Montana.  Sheriff Young and his undersheriff responded to make the arrest. When they arrived at the train station, the officers started questioning people in the station. Sheriff Young went inside the station to get a better description of the suspect from the station agent. When he went back outside, he found the suspect on the platform. As the undersheriff came to assist Sheriff Young, the suspect pulled a gun and shot the undersheriff, seriously wounding him. The suspect then shot Sheriff Young, who died instantly.  The suspect escaped and was never caught even though a large posse searched for him for several days."
